#Digilent WaveForms Oscilloscope Acquisition
#Device Name: Analog Discovery
#Serial Number: SN:210244692736
#Date Time: 2015-11-17 12:41::53.058

Time (s),Channel 2 (V)
-0.0001638,5.00621116982168
-0.00016376,5.00720404044242
-0.00016372,5.00654212669526
-0.00016368,5.00654212669526
-0.00016364,5.00654212669526
-0.0001636,5.00687308356884
-0.00016356,5.00621116982168
-0.00016352,5.00654212669526
-0.00016348,5.007534997316
-0.00016344,5.00554925607452
-0.0001634,5.007534997316
-0.00016336,5.00720404044242
-0.00016332,5.00687308356884
-0.00016328,5.00786595418958
-0.00016324,5.00621116982168
-0.0001632,5.00720404044242
-0.00016316,5.00687308356884
-0.00016312,5.007534997316
-0.00016308,5.00819691106316
-0.00016304,5.00786595418958
-0.000163,5.00654212669526
-0.00016296,5.00654212669526
-0.00016292,5.00687308356884
-0.00016288,5.00687308356884
-0.00016284,5.00687308356884
-0.0001628,5.00654212669526
-0.00016276,5.007534997316
-0.00016272,5.00654212669526
-0.00016268,5.00621116982168
-0.00016264,5.00654212669526
-0.0001626,5.007534997316
-0.00016256,5.00654212669526
-0.00016252,5.00654212669526
-0.00016248,5.00720404044242
-0.00016244,5.00687308356884
-0.0001624,5.00687308356884
-0.00016236,5.00720404044242
-0.00016232,5.00687308356884
-0.00016228,5.00654212669526
-0.00016224,5.0058802129481
-0.0001622,5.00554925607452
-0.00016216,5.00621116982168
-0.00016212,5.00621116982168
-0.00016208,5.0058802129481
-0.00016204,5.00521829920094
-0.000162,5.00654212669526
-0.00016196,5.00621116982168
-0.00016192,5.00654212669526
-0.00016188,5.0058802129481
-0.00016184,5.00687308356884
-0.0001618,5.00554925607452
-0.00016176,5.00621116982168
-0.00016172,5.00654212669526
-0.00016168,5.00720404044242
-0.00016164,5.00687308356884
-0.0001616,5.00621116982168
-0.00016156,5.00687308356884
-0.00016152,5.00654212669526
-0.00016148,5.00687308356884
-0.00016144,5.00687308356884
-0.0001614,5.00654212669526
-0.00016136,5.00654212669526
-0.00016132,5.00654212669526
-0.00016128,5.00654212669526
-0.00016124,5.00654212669526
-0.0001612,5.00687308356884
-0.00016116,5.00654212669526
-0.00016112,5.00720404044242
-0.00016108,5.0058802129481
-0.00016104,5.00621116982168
-0.000161,5.0058802129481
-0.00016096,5.00654212669526
-0.00016092,5.00687308356884
-0.00016088,5.00621116982168
-0.00016084,5.00720404044242
-0.0001608,5.00654212669526
-0.00016076,5.00621116982168
-0.00016072,5.00621116982168
-0.00016068,5.00621116982168
-0.00016064,5.00654212669526
-0.0001606,5.00621116982168
-0.00016056,5.00554925607452
-0.00016052,5.00720404044242
-0.00016048,5.00554925607452
-0.00016044,5.00621116982168
-0.0001604,5.0058802129481
-0.00016036,5.0058802129481
-0.00016032,5.00654212669526
-0.00016028,5.00687308356884
-0.00016024,5.00654212669526
-0.0001602,5.007534997316
-0.00016016,5.00654212669526
-0.00016012,5.00621116982168
-0.00016008,5.00621116982168
-0.00016004,5.00654212669526
-0.00016,5.00687308356884
-0.00015996,5.00621116982168
-0.00015992,5.00654212669526
-0.00015988,5.0058802129481
-0.00015984,5.00654212669526
-0.0001598,5.00621116982168
-0.00015976,5.00687308356884
-0.00015972,5.0058802129481
